Category,Subcategory,Item Code,Description,Price,UOM
BEEF CHUCK,CHUCKS,IB4R34,CHAIRMAN'S RESERVE SEMI BNLS C,4.49,LB
BEEF CHUCK,CHUCKS,NA4234,NATIONAL SELECT SEMI B/O CHUCK,4.49,LB
BEEF CHUCK,CHUCKS,IB4334,IBP SELECT SEMI BNLS CHUCKS,4.49,LB
BEEF CHUCK,CHUCKS,NE4134,NEBRASKA CH SEMI BONELESS CHUC,4.99,LB
BEEF CHUCK,CHUCKS,NE4B34,NEBRASKA BEEF CH BI CHUCK BLADE,5.49,LB
BEEF CHUCK,CHUCKS,BRAP01,BLUE RIBBON CAN CAB PR CHUCK ROLLS,4.89,LB
BEEF CHUCK,CHUCKS,IB4R01,CHAIRMAN RESERVE CHUCK ROLL,4.95,LB
BEEF CHUCK,CHUCKS,CF4101,CREEKSTONE CH CHUCK ROLL,4.89,LB
BEEF CHUCK,CHUCKS,NE4001,NEBRASKA N/O CHUCK ROLLS,4.69,LB
BEEF CHUCK,CHUCKS,HB4H01,HERITAGE HARMONY CHUCK ROLLS,4.69,LB
BEEF CHUCK,CHUCKS,DK4201,DEMKOTA CHUCK ROLLS,4.65,LB
BEEF CHUCK,CHUCKS,IB4R14,CHAIRMAN'S RESERVE CHK SHOULDE,4.19,LB
BEEF CHUCK,CHUCKS,NE4414,NEBRASKA CLODS,3.95,LB
BEEF CHUCK,CHUCKS,CF4114,"CREEKSTONE CH 1"" SHOULDER CLOD",4.09,LB
BEEF CHUCK,CHUCKS,CF4F14,CREEKSTONE CH FLAT IRONS,6.39,LB
BEEF CHUCK,CHUCKS,HB4HF4,HERITAGE HARMONEY TOP BLADE/ FLAT IRON,5.69,LB
BEEF CHUCK,CHUCKS,BR42F4,BLUE RIBBON CAN BNLS TOP BLADE/FLAT IRON,5.29,LB
BEEF CHUCK,CHUCKS,SW4F24,SWIFT BNLS TOP BLADE/FLAT IRON,,LB
BEEF CHUCK,CHUCKS,CF4110,CREEKSTONE CH CHUCK FLAP MEAT,12.49,LB
BEEF CHUCK,CHUCKS,NE4110,NEBRASKA CHUCK FLAP MEAT CHOIC,12.39,LB
BEEF CHUCK,CHUCKS,NE4P10,NEBRASKA CHUCK FLAP MEAT-PRIME,12.19,LB
BEEF CHUCK,CHUCKS,NA4310,NATIONAL SEL CHUCK TAIL FLAP MEAT,10.49,LB
BEEF CHUCK,CHUCKS,BR4110,BLUE RIBBON CAN AAA CHUCK FLAP,10.89,LB
BEEF CHUCK,CHUCKS,NA4210,NATIONAL CHUCK TAIL FLAP MEAT,10.89,LB
BEEF CHUCK,CHUCKS,BR4310,BLUE RIBBON CAN AA CHUCK FLAP,10.89,LB
BEEF CHUCK,CHUCKS,NE4410,NEBRASKA CHUCK FLAP,10.89,LB
BEEF CHUCK,CHUCKS,BR4A04,BLUE RIBBON CAN CAB CHUCK TENDERS,,LB
BEEF CHUCK,CHUCKS,BR4204,BLUE RIBBON CAN CHUCK TENDERS,,LB
BEEF CHUCK,CHUCKS,IB4104,IBP CHOICE CHUCK TENDER,4.59,LB
BEEF CHUCK,CHUCKS,IB4404,IBP CHUCK TENDER,4.59,LB
BEEF CHUCK,CHUCKS,IB4R04,CHAIRMAN'S RESERVE CHUCK TENDE,4.79,LB
BEEF CHUCK,CHUCKS,NA4104,NATIONAL CHOICE CHUCK TENDER,4.69,LB
