Item Number,Brand,Description,Pack/Size,Price,UOM
000007,LACTALIS,LACTALIS CROSS DOCK PALL,1/PAL,1.00,CS
000092,RR,BROKEN PALLETS,1/,-01,CS
100020,JERSEYSHOR,00090 JERSEY SHORE FRY,6/4.5.,47.52,CS
100100,CAVENDISH,04014 DOLLAR (COTTAGE) FRY,6/5,52.30,CS
100200,CAVENDISH,04019 WEDGES TRADITIONAL,6/5,51.19,CS
100300,CAVENDISH,04101 CAVENDISH NUGGETS,6/5,47.18,CS
100500,CAVENDISH,05301 3/98 CLEAR COAT FRY,6/4.5,45.87,CS
100540,EDGEWOOD,90917 3/8 COATED FRY EDGE,6/4.5,43.17,CS
100590,CAVENDISH,20811 SWEET POTATO THINS,6/2.5,37.72,CS
100700,DOUBLE R,32004 3/8 DOUBLE R FRIES,6/5,39.35,CS
101000,EDGEWOOD,90913 EDGEWOOD 3/8 FRIES,6/5,30.00,CS
101400,CAVENDISH,05222 SAVORY DICED POTATO,6/5,53.50,CS
101800,CAVENDISH,34217 HASH BROWN PATTIES,12/20,60.42,CS
101900,CAVENDISH,35101 3/8 SPICY FRIES,6/4.5,48.08,CS
102500,REGAL NP,3/8 REGAL NONPAREIL FRIES,6/5,27.90,CS
102520,REGAL NP,3/8 REGAL NP FRIES RED,6/5,25.25,CS
102600,REGAL NP,"K/K 1/2"" REGAL NP FRIES",6/5,28.50,CS
102700,REGAL NP,S/S REGAL NONPAREIL FRIES,6/4.5,26.73,CS
102730,REGAL NP,PONDEROSA COATED FRIES,6/4.5,35.57,CS
102750,REGAL NP,COATED REGAL NP FRIES,6/4.5,31.59,CS
102770,REGAL NP,CRISPY COATED S/S FRIES,6/6,38.98,CS
102790,REGAL NP,SPICY FRIES,6/4.5,37.95,CS
102810,REGAL NP,TATER NUGGETS,6/5,39.40,CS
103500,REDSTONE,03622 SEASONED SPIRALS,6/4,43.00,CS
104600,SIMPLOT,364573 IOF HASH BROWN,6/3,35.38,CS
105000,SIMPLOT,466017 HOME FRIES TRADIT,6/5,55.85,CS
