000006,000093,100520,101500,102620,102800
000091,100050,100550,101805,102720,103000
,100150,100670,102300,102740,103800
,100210,100800,102510,102760,104900
,100400,101100,102550,102780,
MISC,RR,CAVENDISH,SCOTCHMAID,REGAL NP,REGAL NP
,RR,CAVENDISH,TATER PAL,REGAL NP,REGAL NP
,CAVENDISH,CAVENDISH,CAVENDISH,REGAL NP,SIMPLOT
,CAVENDISH,CAVENDISH,SCOTCHMAID,REGAL NP,CONQUEST
,CAVENDISH,DOUBLE R,REGAL NP,REGAL NP,SIMPLOT
CROSS DOCK PALLET,35119 SPICY POTATO WEDGE,32006 K/K DOUBLE R FRIES,3/8 REGAL NP FRIES BLACK,3/8 XL REGAL COATED FRIES,46130 S/S CLASSIC FRIES
DEMURRAGE,04109 CHUNKY DICED POTATO,33229 COATED SKIN ON FRY,STEAK CUT REGAL NP FRIES,COATED FRIES RNP BLACK,1/PAL
FREIGHT CHARGE,55185 CLEAR COAT PUB FRY,221227 K/K OVENABLE FRIES,K/K REGAL NP RED FRIES,HASH BROWN PATTIES 2.250Z,1.
20378 FRESH CUT CHIPS,05311 S/S CLEAR COAT FRY,37106 HASH BROWN PATTIES,S/S REGAL NP RED FRIES,471080 CONQUEST 3/8 FRIES,a/.
5208 SEASONED LATTICE FRY,05306 CRYSTAL RED FRIES,33111 S/S CRISPY COATED,KRISPY GOLD BATTERED FRY,030140 3/8 CONQUEST SKIN,4/SL
